id,1-25_R1,1-25_R2,2-3_R1,2-3_R2,151-4_R1,151-4_R2,181-1,181-2,27110-1,27110-2,d9987w-1,d9987w-2
ENSG00000000003.15,3234,3241,3755,3817,2554,4048.999,3468.999,3686.001,3607,3510.001,2971.001,2875
ENSG00000000005.6,1,1,0,5,0,0,18,25,2,3,5,3
ENSG00000000419.13,804.999,759,838,913,525.999,812,873,869,900,922,1159,1184
ENSG00000000457.14,208,242.999,211,244,243,233.001,214,222,221.999,241,170,191.999
ENSG00000000460.17,300.999,319.001,405.001,405,208,447.999,663.999,665,647,644.001,626.999,648
ENSG00000000938.13,0,1,0,3,0,0,0,0,1,1,1,0
ENSG00000000971.16,10,0,4,5,3,0,12,2,13,7.154,8,31.883
ENSG00000001036.14,1297.001,1271.001,1394.999,1312.999,1303,700,958,1075,1203.999,1173,2131,2189
ENSG00000001084.13,489,548,512,486.999,870.999,548,568,596.999,597.999,548.001,767,670.001
ENSG00000001167.14,774,836,909,959,849,1148,1854,1805,1684,1269,1162,1119
ENSG00000001460.18,146,140.999,228,206,137,217,124.001,121.999,187,221.999,179.999,170
ENSG00000001461.17,216.001,305,272,215,625,335,130.001,127,213,226,80,74
ENSG00000001497.18,870.998,817.001,1042.002,1025,779,1038,1355.999,1595.998,1381.998,1393,1809,1644.999
ENSG00000001561.7,239,222,277,307,259,191,40,53,27,32,132,139
ENSG00000001617.12,98,66,167,160,964,239,778,723.999,1251.001,1040.999,254,207
ENSG00000001626.16,16,8,5,0,2,0,3,0,0,0,6,11
ENSG00000001629.10,1381.001,1577,1327,1378,1152,963.999,1008.001,750,859,981,952,1002
ENSG00000001630.17,4661.957,4557.925,6290.31,6672.94,3556.951,3189.962,3081.998,3035.968,2673.918,2031.986,3425.998,3621.908
ENSG00000001631.16,631.552,576.601,616.688,628.01,500.432,776.249,309.728,391.999,686.285,754.13,747.032,680.28
ENSG00000002016.18,132,117.999,193,171.041,96.001,147.046,175,144.999,216.133,183.001,193,149
ENSG00000002079.14,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000002330.14,628,612,644.999,623,669,554.999,449.999,568.001,440.001,475,374.001,408
ENSG00000002549.12,948.001,853.001,1032,1038,869,654,1217,1653.002,1221.001,1144,1394,1441
ENSG00000002586.20,3284.001,3003,3887,3648.001,4626.999,4159.001,4858,3536.001,4332.998,4521,3369.999,3477.999
ENSG00000002587.10,188,107,44,32,855,8,48,76,63,130,192,169
ENSG00000002726.21,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002745.13,0,0,0,0,5,0,1,2,1,2,0,0
ENSG00000002746.15,156,179.999,110.999,108,70,152.001,27,16,3,0,33,31
ENSG00000002822.15,479.799,420.767,405.137,383.515,342.68,396.713,568.799,667.895,438.732,371.643,488.578,534.849
ENSG00000002834.18,9094,8731.999,7973,7877.001,6601,7215.001,6951,5416,6681.999,5392.001,6624.999,8817.999
ENSG00000002919.15,625,592.001,632,619,661.999,652,475.001,509,458,525,516,569.001
ENSG00000002933.9,6,6,8,6,112.001,6,2,4,2,2,0,1
ENSG00000003056.8,4084.798,3927,3757.001,3818,1286.979,2408.428,1739.001,2026,2254,2109,2889.999,3060
ENSG00000003096.14,669.999,852.001,661.001,663,320,720,1207.999,1098.001,1804.001,1588,657.999,519.001
ENSG00000003137.8,16,10,13,19,14,13,798.999,348,94,68,196,208
ENSG00000003147.19,33,30.999,40,30,27,52,29,39,63,57,80.999,52
ENSG00000003249.15,288.001,361,527,487,373.999,1419.001,107.001,142.001,129,156.001,241.001,207.999
ENSG00000003393.15,1279,1257.001,1532,1485,1258.999,1551.001,1151.999,1011.001,912,875,1395.999,1319
ENSG00000003400.15,0,1,2,1,3,1,0,1,1,0,0,3
ENSG00000003402.20,534,572.999,495,516,523.999,389,251.001,208.001,238.001,197,504.999,489
ENSG00000003436.16,247,154,360,321.999,242,35.001,406.999,535.001,355,376,441,438
ENSG00000003509.16,243.001,242.001,270.001,299,207.001,249.001,220.001,256.002,266,330,287,249
ENSG00000003756.17,2300.956,2280.584,1637,1615.148,1310.001,2363.48,1938.156,2137.589,2270.435,2548,1764.511,1673.217
ENSG00000003987.14,132,139,144,155,33,250,77,78,72,69,53,35
ENSG00000003989.18,45,53,63,73,58,122,748,673,719,718,410,431
ENSG00000004059.11,2285.001,2144.977,2326,2073.964,1809,2422.98,2183.929,2752.979,2649.939,2732.999,2308.973,1990.977
ENSG00000004139.14,2042.867,2279.876,1791.457,1758.411,1786.87,2309.482,770,640,474.835,465.826,869.03,978
ENSG00000004142.12,2583,2473,2558,2616,3174,2667,2454,2625,2824,2989,2609,2875
ENSG00000004399.13,234,184.001,343,341.999,1316.999,165.001,2281,2749.001,2688.001,2273.001,2819.999,2687.999
ENSG00000004455.17,2214.923,2240.827,2640.907,2673.808,1617.955,1643.748,2930.503,3384.883,3264.346,3739.699,3102.853,2829.911
ENSG00000004468.13,18,13,10,6,7,0,2,20,6,10,2,1
ENSG00000004478.8,2990.001,3095,4140,3782.999,2000,3728,4564.001,5967.999,3693,3710,4997,4967
ENSG00000004487.17,5300,5103.999,5781.999,5731,3130.999,7292,7845,9233,8699.999,9391.999,8506.999,7467.999
ENSG00000004534.15,1546.043,1539.416,1294,1445.851,738.001,1652.519,1640.848,1726.411,1460.565,1700.001,1960.488,1787.781
ENSG00000004660.15,216,260,210.999,200,197,228.999,65,45,61,76,110,83
ENSG00000004700.16,944,864,938.001,933.001,1242,763,972,903,804,983.999,1178,1261.999
ENSG00000004766.17,494,504.999,406.001,404,407.999,536.002,362,369,373,434.999,303,300.001
ENSG00000004776.13,3,3,18,23,11,6,21,16,16,21,3,3
ENSG00000004777.18,725,878,578.001,553.999,426.001,914,302,269,314.001,324,340,329.999
ENSG00000004779.10,1116.001,979,1194,1158,1074,1191.001,1141,1396.999,1136,1291,1484,1327
ENSG00000004799.8,93,149,95,88.999,78,78,407,900,842,1058.001,9,13
ENSG00000004809.14,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000004838.14,120,158,176.999,150,47,202,19,23,10.999,23,15,13
ENSG00000004846.16,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000004848.8,23,30,41,51,22,1417,6,0,1,0,17,33
ENSG00000004864.14,2186,2107.999,2023.001,2223,1570,2055.999,1920,2278.001,2059,2045,2942,3028
ENSG00000004866.22,362.95,428.001,366,380.001,356.926,558,657.979,776,734.975,729.96,539.963,536.999
ENSG00000004897.12,1811.993,1998,1982.998,2067,1984,1981.999,2991,2759,2943.999,2979.999,2482.999,2652.001
ENSG00000004939.15,0,0,0,0,20,1,0,0,0,0,0,0
ENSG00000004948.16,2,4,2,8,1,6,0,6,0,0,2,8
ENSG00000004961.15,525,504,499,485,472,509,545,511,449,575,590,666
ENSG00000004975.12,1747.999,1781.001,1982,1839,1392.999,1956.001,1886,1984.999,2421.999,2524.999,2041,1924.001
ENSG00000005001.10,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000005007.13,3490,3588,3110.001,3119.001,2857,2898.999,3167.001,3172,3386,2836,3129,3136
ENSG00000005020.13,65,43,62,65,156,50,64,59,34,43,172,166
ENSG00000005022.6,4094,4288,5528,5251,3170.001,3684,8550,8790,10378,10392,5883,6336
ENSG00000005059.16,812.999,803,757,815,788,816,172.001,233,174.001,199,201,219
ENSG00000005073.6,0,0,0,1,0,0,24,0,0,0,0,0
ENSG00000005075.15,893.28,972.23,1064.631,1111.392,923.788,1157.626,1061.546,1289.351,1178.226,1256.871,1210.351,1123.557
ENSG00000005100.13,1105,1111.001,1071,1176,1131,1103,1315.999,1385.001,1269,1196,1649,1710
ENSG00000005102.14,10,11,22,23,6,3,109,105,116,51.001,26,12
ENSG00000005108.16,737,1009.999,266,275,773,447,558,370,73,56,137,179
ENSG00000005156.12,1687.999,1865.998,2281,2173.462,1127,1770.928,2704.999,2781.952,2379.999,2497.001,2540.96,2456.968
ENSG00000005175.10,890,906.999,945,987.999,908,986,896,907.999,756,747.999,1244.999,1243
ENSG00000005187.12,5,4,5,5,6,2,6,10,6,15,7,4
ENSG00000005189.20,79,94.999,158,161.999,54.999,142.001,63,69,106.999,149,179,199.999
ENSG00000005194.15,1639.999,1847,1803.002,1773.999,1135.999,2038,1685,2062,2141,2044.001,2259.001,2326.001
ENSG00000005206.17,766.001,849.001,712.001,625,635,703,586.999,719.001,858.999,809,470.001,389
ENSG00000005238.20,976.999,983.999,726.999,666,1126.001,786.999,380.999,292,437.001,427.999,321,316.999
ENSG00000005243.10,7,11,24,8,86,3,9,26.001,48,60,8,14
ENSG00000005249.13,1670,1662,1212,1343,745,2388,565,608,520,515,1051,1007
ENSG00000005302.19,691,734,663,662.999,501,707.998,843,825.001,784.999,823.001,703.999,823.001
ENSG00000005339.15,2795.002,2995.999,2354.999,2420.001,2503,3324.002,3930.001,3069,3526,2564,2669,2832.002
ENSG00000005379.17,374.999,415,372.999,413,174.999,523.999,77.001,88,102.999,108,92.001,88
ENSG00000005381.8,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005421.9,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000005436.14,151.999,132,220.999,243,226,203.001,297,263,315,396,326,304
ENSG00000005448.17,853.001,887,1162.002,1142.001,555,1073.001,600.001,768,738.999,720.001,1038.001,933
ENSG00000005469.12,203.001,265.001,239,251,300,305.999,158.999,186,204,260,220,214
ENSG00000005471.19,135,114,202,216.001,103,15,32.999,34,33,40,60,62
ENSG00000005483.21,2407.999,2822,3237.001,3399,1810.001,2416.999,1867,1563,2568,2211,1676,1325.999
ENSG00000005486.17,3240,3543.001,3406,3179.999,3320.999,3195,1718.001,1829,2329.999,1927.001,2013,1840
ENSG00000005513.10,1031,761,872,864,249,505,703,1222,1241,1160,667,633
ENSG00000005700.15,1390.001,1339,1341.999,1497,1562,1096,1099,957,1095,1122,799.999,814.999
ENSG00000005801.18,864,900.999,732.001,782.001,715.998,1099.999,809.999,870,894.998,910.999,901.001,916
ENSG00000005810.18,958.001,1148,992.001,1041.999,1208.001,1714.999,1588,1145,1239,1145.001,1092,1001.999
ENSG00000005812.11,795,735,567,651.999,727.032,655,653,627.001,706,795.999,504,634.999
ENSG00000005844.19,0,1,0,0,2,0,0,0,0,1,1,0
ENSG00000005882.12,1004,1056.98,1113.358,983.348,1596,1134.219,893.001,872.957,1106.999,1067,576.001,591
ENSG00000005884.18,1218.001,972.001,1208.999,905.998,441.999,203,98,95,96,44,268.999,339
ENSG00000005889.16,658.001,629,500,564.999,687,529,719,673,631,546,497.999,537.001
ENSG00000005893.16,2507,2431,2413.999,2416.001,2516,2395,1941,1860,2067,2108,1487.001,1473.999
ENSG00000005961.19,23,14,44.999,44,6,59,21,25,32,47.999,28,18
ENSG00000005981.13,8,6,3,5,1,2,3,15,6,7,2,3
ENSG00000006007.12,1822,1700,2009,1989,2256,2062,1682,1903,1650.001,1725.999,1550,1429.999
ENSG00000006015.18,328.999,300.999,394,349,278.001,314.999,287.001,330,293.999,317,392,369.001
ENSG00000006016.11,2,0,64,55,8,5,1055,3015.001,1918,1647,7,2
ENSG00000006025.12,100.001,118.001,97,73.001,85,68,48,51,78,65,65,59
ENSG00000006042.12,2516.999,2607.999,2892,2826.001,1904.999,4790,2768.999,2567.001,3075,2498,2910,3049.999
ENSG00000006047.13,33,31,61,53,56,157,34,28,71,65,50,24
ENSG00000006059.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006062.17,207.001,224.001,210,209,61,162,195,239,228,212,226,204
ENSG00000006071.15,11,21,9,9,21,30,4,4,0,3,8,9.001
ENSG00000006116.4,1,0,2,1,0,5,0,0,0,0,1,0
ENSG00000006118.15,8656.998,8601,5901,5784,4715,6062,2506.002,3250,3791,3298.998,2194.999,2232.999
ENSG00000006125.18,10746,11662.999,10932,10715.001,7951,10196.001,7647.001,7592.001,7557,7648.999,9501.999,8807
ENSG00000006128.12,15,22,14,21,35.999,77,1235,1130.999,646,703,25,28.001
ENSG00000006194.10,643.001,634.001,557.001,582.999,513.001,682.999,780.999,786.002,765,780.998,739.999,720
ENSG00000006210.7,1693,1759,1032.001,961,183,464,409,209,277,241,666,773
ENSG00000006282.21,685,715.002,908.999,901,744.999,369,765.999,872,1133.001,1252.001,417,343
ENSG00000006283.18,57.999,95,87,86.999,42,125,1573.001,950,1438,1379,143,99.999
ENSG00000006327.14,580,390.001,211.001,193,153,31.001,49,32,38,28,161.999,383.999
ENSG00000006377.11,57,45,19,10,574,292,56,51,0,2,0,0
ENSG00000006432.15,690,853,626,645.999,1478,1001,281,224.999,192.001,283,401,355.999
ENSG00000006451.8,1780.999,1837,1813,1933,1479,2195,1702,1982,1752,1915,1967.001,1896
ENSG00000006453.14,89,92,229,227,52,107,167,226,242,523,154,110
ENSG00000006459.11,282,313,289,261,390,568,340,303,354,314,300,273
ENSG00000006468.14,2746.999,2695.001,2396.001,2408.002,1210.998,1541.001,2876.001,2448,2847,2491.999,1690.002,1799
ENSG00000006530.18,731,783,873.001,840.999,426.998,777.001,648.002,793.999,743,461.999,944.002,960.001
ENSG00000006534.16,8,8,21,21,35,0,0,0,2,7,19,22
ENSG00000006555.11,2,1,0,0,4,1,0,0,0,0,0,1
ENSG00000006576.16,704,622,694,706,453.999,462.999,665.999,523.999,744,808,615.999,601
ENSG00000006606.9,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006607.14,922,941.001,970.001,969.001,996,798,1096,866,994,972.001,882,920
ENSG00000006611.17,0,0,0,0,4,0,0,5,2,1,0,0
ENSG00000006625.18,959,782.999,1037.999,1101,386.001,585.001,1038,1252,992,1161,1118.999,1249.999
ENSG00000006634.8,857.017,776.961,969.983,1037.888,447.924,1262.946,1209.951,1279.927,1016.922,1184.998,1542.924,1550.966
ENSG00000006638.13,1,0,0,1,0,2,4,4,5,13,2,3
ENSG00000006652.15,748.772,765.166,682.278,743.899,870.188,1047.096,869.527,1005.614,777.919,880.576,1475.492,1881.536
ENSG00000006659.13,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006695.12,401.182,417.231,334.481,358.511,339.41,309.203,497.151,495,473.029,495.152,614.999,541.108
ENSG00000006704.11,1192.999,1187,1140,1062.999,670,1376.001,1180,1122.001,1243,1210,868,729
ENSG00000006712.15,1601,1614,1708.999,1650,1147.001,1550,1449,1594,1159,1195.999,1625,1394
ENSG00000006715.16,1303,1411,1213.001,1258,1557,1301.999,1179,1142,1067.002,1206.001,961,933
ENSG00000006740.17,101,134,188,164,155.001,180,273.999,198,195.001,183.001,154,142
ENSG00000006744.19,1732,1643.999,2005,1845.001,2006,1630.999,2145.001,2622,2069.001,1911,2411,2246
ENSG00000006747.15,1,1,1,0,1,0,2,0,2,1,0,3
ENSG00000006756.16,565,582,420.999,427,526.999,215,197,206,221,204,93,82.001
ENSG00000006757.12,211.999,205,257,229.999,313,86,215,252,211,269,176,180.999
ENSG00000006788.14,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000006831.10,2419,2441,2493,2508,2015,2422.001,2338.999,2247,2501.999,2843,2526,2460
ENSG00000006837.12,32.366,36,37.719,39.795,43.302,63.923,21.634,35.714,28.734,23.325,33.507,31.126
ENSG00000007001.13,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000007038.11,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000007047.15,1254.001,1264,1405.001,1346,1943.999,1374.999,1222.999,1432.001,1558.999,1639,1274.001,1104
ENSG00000007062.12,864,877.999,872.999,919.999,328,858,910.001,1075.001,634.999,882,3285,3475
ENSG00000007080.11,1070,1066,1197.999,1213,915,1131,1210,1520,1113,1130.001,1385.001,1326
ENSG00000007129.18,885.001,818,737.001,717,0,9,31,32,11,6,42,27.999
ENSG00000007168.14,5644.999,6206,4739,5005.001,4844,6826.001,5065.999,4567,4833.995,4670,5091,5246.998
ENSG00000007171.18,198,268,815,669,47,4617,17,13,8,10,44,35
ENSG00000007174.18,139.999,162,146,112.001,45,50,35,43,11,7,51,62.001
ENSG00000007202.15,4761.001,4850.001,5032,4915,4515,3897.998,4608,4845.002,4223,3638,5064.001,5040
ENSG00000007216.15,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000007237.19,335,338,311,283,6872.999,481,543,232.999,190,173,108,139
ENSG00000007255.10,210,244,352,355,359,351,155.999,229.999,186,228,145,124.001
ENSG00000007264.15,8,9,8,7,8,1,1,5,1,2,0,1
ENSG00000007306.15,0,0,0,0,4,0,0,0,0,0,0,0
ENSG00000007312.13,0,0,3,1,0,0,0,2,4,5,8,2
ENSG00000007314.12,0,1,4,8,6,8,10,9,22,23,15,10
ENSG00000007341.19,228.999,201,245.001,303.999,262.999,302.999,251.999,305.999,236.976,179.999,203,187
ENSG00000007350.17,5,2,4,6,305,45,27,26,1,4,31,45
ENSG00000007372.24,19,3,91,95.001,4049.967,32.001,45,51.999,25,21,659.996,585.001
ENSG00000007376.8,414,434,437.001,443,472,381,434,578.001,479,454,458,505.001
ENSG00000007384.15,290,298.001,301.999,282.001,275,124,127,148,159.001,178,339.999,278.001
ENSG00000007392.17,1119,1207.999,1298,1275.001,624.999,1294,1353.999,1694.998,1788.999,1959.999,1797,1842.999
ENSG00000007402.12,1250.999,1393.999,1200.001,1142,544,702.001,505,540.999,501,578.001,478,315
ENSG00000007516.14,320,354,196,153.999,111,174.001,52,51,26,25,54.999,66
ENSG00000007520.4,1071,904,799,805,1061,919,842,890,659,622,707,812
ENSG00000007541.17,837.76,896.606,893.001,867.154,1047.871,1088.839,739.022,919.673,808.936,719.601,648.581,655.496
ENSG00000007545.16,1002.364,1066.243,820.145,867.333,657.449,1174.059,1056.51,1035.733,1233.722,1060.821,944.742,874.405
ENSG00000007866.22,463,431,599,567,670,638,2129,2024.001,2421,2366,988,994.999
ENSG00000007908.16,5,0,0,1,0,0,0,0,0,0,0,0
ENSG00000007923.16,1643.915,1520,1389.963,1490.001,1302.947,1618.94,1871.001,2116,1918.996,1671,2073.001,2212
ENSG00000007933.13,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000007944.15,326,273,322,293,150,95,867,999,1333,1439,108,105
ENSG00000007952.18,0,0,0,0,11,0,0,0,0,0,0,0
ENSG00000007968.7,492,579,572,618,229,809,436,418,374,306,1066,921
ENSG00000008018.9,2764,2744,3419,3295,3210,3328,3052,3462,3507,3494,3782,4219
ENSG00000008056.14,236.02,293.293,115.546,137.999,108.624,338.688,47.94,33,24,28,126.664,136
ENSG00000008083.14,3370,3099,2878,3042,1254,3046,2689,2539,2934,2917,2643,2281
ENSG00000008086.13,374,302.999,192,198,138,238,284,229,321,275,394,366
ENSG00000008118.10,183,141,160,118,69,236,75,108,155,116,63,47
ENSG00000008128.23,341.901,315.83,326.472,361.217,309.984,334.694,164.332,186.978,312.23,336.592,312.382,240.25
ENSG00000008130.15,1309.001,1426,1578,1513.001,1705.999,1419.001,1421,1555.999,1636.999,1701.999,1431,1340
ENSG00000008196.13,115,28,14,22,4,50,3938.001,3265.001,4577.001,4314.001,217,246
ENSG00000008197.5,0,0,0,0,2,0,0,0,0,0,0,1
ENSG00000008226.20,47,53.001,57.001,61,16,63,9,7,3,3,42,37
ENSG00000008256.16,1069,1168,1001,974,820,969,1826,1920.001,2154,2156,644,726
ENSG00000008277.14,688.999,771,583.001,612.001,267,633,607,502,484.001,481,370,288
ENSG00000008282.9,1209.001,1214.001,1184,1344.001,851,672,1053,1044.999,1153.001,1077,975,946.001
ENSG00000008283.16,1080.999,1026,1019.001,885.999,595,765.001,295,211,340,244.001,396,391
ENSG00000008294.21,4702.001,5199,4090,4321,2345,6546.001,1900.001,1829,1570.999,1764.001,2512.998,2444.999
ENSG00000008300.17,1333,1655,1506.001,1447,404,2341.999,617.999,605.001,388,496,1513,1229
ENSG00000008311.15,1089,1103,1024,1192,397,1731,1980,1908,1791.001,2524,1452,1319
ENSG00000008323.15,14,6,26,30,9,6,1,9,4,5,46,29
ENSG00000008324.12,238,228,258,262,143,315,387,444.999,345,355,354,359
ENSG00000008382.16,558,564,642,683.001,577,638,399.999,468,478.999,582.999,500,489
ENSG00000008394.13,1948.002,1976,3515.001,3604,461.999,5260.998,840,1500,1038,1374,1838,1591.998
ENSG00000008405.12,1392.001,1419,1224,1223,499,1259.999,1065,1040.001,921,1002,959.999,963.001
ENSG00000008438.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000008441.18,102,86.001,64,72,300,1,42,13,18,19,16,34
ENSG00000008513.16,266,245,265.001,289,328.001,176,603,685,764.001,664,446,427
ENSG00000008516.17,12,6,22,18,5,3,91,46,65,22,45,31
ENSG00000008517.18,23,9,15,11.001,9,0,0,1,4,3,3,3
ENSG00000008710.20,1259.941,1457.88,1205.638,1157.511,1545.066,692.854,995.73,855.486,1249.058,1041.148,913.947,808.381
ENSG00000008735.14,1114,1219,934,951,586,2077,290,264,123,311,498,601
ENSG00000008838.20,2539,2718.002,2598.999,2432.999,2814.001,2506,2603.002,2788.002,2657,2221.001,2230.001,2239
ENSG00000008853.17,2502,2689.987,1772.993,1749,1600.999,1860,1918,1761,1519,1174,980,1191.001
ENSG00000008869.12,649,651,569,574,718,652,570,546,580,745,593,535
ENSG00000008952.17,3174,3308.001,2004.001,2226.999,2599.001,2365.001,2964.001,2273,2289,2242,1843,1957.001
ENSG00000008988.11,14274,14013.999,15364.001,15511.001,13854,15254,16277,17515.001,15361.001,15832,12155,14163.002
ENSG00000009307.16,16184.001,16122.999,16043.001,16677,17022,17588,19045.001,17511.999,18757.999,17892.999,21280,21391.001
ENSG00000009335.18,1959,1927,1887,1842,2741,1473.999,1722.999,1569.999,1661.001,1631,2241,2397.001
ENSG00000009413.16,1313,1522,1530,1675,443,622.999,2832,1990,3518,3167,523,491
ENSG00000009694.13,227,302,144,138,225,27,115,42,17,30,43,30
ENSG00000009709.12,3,0,14,5,1,0,270,152,47,20,40,44
ENSG00000009724.17,0,1,0,1,0,0,0,1,1,0,1,0
ENSG00000009765.15,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000009780.16,256,258,221.999,219,153,249,178.999,201,220.999,233,157,190
ENSG00000009790.15,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000009830.12,1233,1378.001,1464,1398.002,1789.001,1390,1069.001,1199,1211.999,1036.999,1204,1192.001
ENSG00000009844.16,1913,1886,1769,1904,2377,2073,1764.999,1626,1709,1719,1733.999,1962.001
ENSG00000009950.16,1,2,8,6,0,0,1,3,4,12,6,3
ENSG00000009954.11,4192,4367,4246.001,4376,2343.999,5014,6287,6123.999,5743.001,5045,5674,5465
ENSG00000010017.13,1547,1610,1392,1353,1755,1669,1235,1173,1174,1221,1209,1223
ENSG00000010030.14,2,0,3,2,0,1,0,0,1,0,3,2
ENSG00000010072.16,333,376,302.999,348.999,432,444.999,353,369,311,354,348,360
ENSG00000010165.20,804.999,837,820,799,929,779,1083.999,1219,1058.001,1031.999,1265.999,1385
ENSG00000010219.13,347.988,365.999,380.001,327.999,289,397,759.996,771.999,363.001,296.002,268,237
ENSG00000010244.19,4845.002,5175.999,4979.998,5191.999,3583.998,6616.998,6191,6840.001,7339,6634,6934.999,7064.001
ENSG00000010256.11,3280.999,3125.999,3922,3670.999,2653,4271,3766.001,4200,4084.999,4289.001,4044.001,4216.001
ENSG00000010270.14,1933.001,1837,1692,1621.001,1472,2223.001,1385.001,1371,1362,1689,1634,1674.001
ENSG00000010278.15,52,46,195.002,170.999,189.999,104.999,391.998,155,401,363,164.001,159
ENSG00000010282.15,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000010292.13,4702.999,4930,5652.999,5462,2675.999,6516.999,6607,6111.999,6242.001,6743.001,7018,6067
ENSG00000010295.20,354.002,386.001,373,354.999,267,341,303.999,368,549.999,509,359.001,313.001
